FILED_MONTH_KEY,filings
2018-01-01,9136
2018-02-01,7193
2018-03-01,8176
2018-04-01,8881
2018-05-01,9003
2018-06-01,8880
2018-07-01,10357
2018-08-01,9197
2018-09-01,8047
2018-10-01,7648
2018-11-01,7996
2018-12-01,9021
2019-01-01,10468
2019-02-01,9242
2019-03-01,9786
2019-04-01,9984
2019-05-01,8392
2019-06-01,9253
2019-07-01,11707
2019-08-01,9916
2019-09-01,11800
2019-10-01,8156
2019-11-01,11129
2019-12-01,10271
2020-01-01,11782
2020-02-01,11032
2020-03-01,6763
2020-04-01,2414
2020-05-01,5788
2020-06-01,9519
2020-07-01,7021
2020-08-01,10628
2020-09-01,12444
2020-10-01,10326
2020-11-01,10926
2020-12-01,11764
2021-01-01,14266
2021-02-01,8737
2021-03-01,3450
2021-04-01,2219
2021-05-01,1507
2021-06-01,2524
2021-07-01,2533
2021-08-01,3099
2021-09-01,3337
2021-10-01,2665
2021-11-01,2749
2021-12-01,3151
