NAME_OF_HIGH_COURT,disposed_cases,labeled_outcomes,outcome_coverage_pct
ALLAHABAD HIGH COURT,13133,11936,90.89
HIGH COURT OF MANIPUR,430,331,76.98
HIGH COURT OF SIKKIM,78,42,53.85
HIGH COURT OF JAMMU AND KASHMIR,1792,945,52.73
ORISSA HIGH COURT,158077,71918,45.5
HIGH COURT OF JHARKHAND,151307,62216,41.12
HIGH COURT OF TRIPURA,3077,1219,39.62
HIGH COURT OF CHHATTISGARH,17492,6915,39.53
HIGH COURT OF UTTARAKHAND,26445,10174,38.47
THE GAUHATI HIGH COURT,86683,29370,33.88
HIGH COURT OF MEGHALAYA,788,213,27.03
HIGH COURT OF RAJASTHAN,168366,45137,26.81
HIGH COURT OF KERALA,91041,21225,23.31
CALCUTTA HIGH COURT,110516,16724,15.13
HIGH COURT OF BOMBAY,47757,6219,13.02
